,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
Cereals,110.04,110.34,110.78,112.21,113.72,113.42,114.05,111.62,111.83,112.69,120.45,122.03,162.20,183.72,185.10,197.96
Rice,111.94,111.86,112.31,113.85,115.50,115.38,115.90,113.05,113.14,114.01,122.82,124.33,169.74,169.45,169.37,169.92
Corn,103.66,103.66,105.25,102.10,103.66,104.69,107.34,102.10,106.86,107.92,108.24,108.24,108.24,108.24,144.68,180.98
Other cereals,94.53,98.21,98.38,99.34,99.72,97.78,99.02,100.54,101.27,101.94,101.62,104.01,104.01,312.77,322.88,437.69
Semolina,92.77,96.81,97.37,98.72,100.03,97.13,99.07,100.82,101.67,101.90,101.60,101.60,101.60,332.83,345.51,489.47
Crushed green wheat,101.47,103.74,102.35,101.75,98.50,100.37,98.83,99.45,99.69,102.10,101.68,113.49,113.49,233.76,233.76,233.76
Wheat Flower,118.97,117.61,116.33,119.23,119.54,117.66,114.37,113.33,111.75,112.37,130.39,147.14,313.23,350.64,350.53,347.40
White flour,119.56,118.18,116.88,119.82,120.13,118.23,115.00,113.94,112.34,112.96,131.22,148.20,316.45,354.35,354.25,351.07
"Macaroni, noodles, couscous and similar pasta products",102.30,102.54,101.86,102.23,102.98,102.61,102.17,101.70,101.40,101.82,101.43,131.84,131.84,217.16,205.88,260.39
Macaroni,101.29,101.98,102.54,101.41,101.41,101.41,101.41,101.41,100.94,101.20,100.79,134.34,134.34,206.58,182.93,251.33
Burghul,104.35,103.98,100.27,104.38,107.73,106.05,104.10,101.95,101.22,101.98,101.98,153.06,153.06,382.64,382.64,446.41
"Live animals, meat and other parts of slaughtered land animals",108.88,105.94,107.78,109.67,112.65,119.11,118.73,108.33,107.83,113.59,117.21,142.28,196.31,225.69,261.82,270.90
Fresh meat,104.98,105.11,102.07,105.72,110.42,113.50,117.49,115.17,113.37,113.79,113.76,124.83,149.53,232.90,318.82,389.21
Fresh bovine meat,105.54,105.55,102.25,105.89,110.89,114.26,118.51,116.07,114.20,114.63,114.58,125.96,151.15,236.18,323.30,394.68
Fresh gat meat,97.69,99.49,99.69,103.56,104.35,103.64,104.35,103.51,102.72,102.95,103.08,110.22,128.59,190.59,260.90,318.50
"Meat of poultry, fresh, chilled or frozen",111.27,106.59,110.77,112.22,114.81,123.37,121.97,105.58,105.32,114.53,120.25,151.62,223.05,233.37,233.37,233.37
Fresh chicken,111.73,106.38,111.82,113.24,115.41,124.82,123.43,105.24,104.72,114.22,120.50,153.24,226.74,226.74,226.74,226.74
Fresh turkey,107.26,108.43,101.68,103.39,109.62,110.81,109.30,108.52,110.47,117.25,118.13,137.62,191.25,290.62,290.62,290.62
