Course Title,Qty,Training Location,Student's Unit,Year
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,4,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,5,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,1,"Ft. Rucker, AL, US",190TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64 LCT Simulator,6,"Ft. Rucker, AL, US",113TH Squadron,2015
AH-64D Aviator Qualification (Israel),3,"Ft. Rucker, AL, US",BISAT 12,2015
AH-64D Aviator Qualification (Israel),1,"Ft. Rucker, AL, US",BISLAT 12,2015
Air Command & Staff College (ACSC Resident Course),1,"Maxwell AFB, AL, US",Air Defense Commanders School 833,2015
Air War College (AWC) Resident Program,1,"Maxwell AFB, AL, US",113TH Squadron,2015
American Language Course General English Training Only,1,"Lackland AFB, TX, US",162ND Division,2015
Army War College (Resident Course),1,"Carlisle Barracks, PA, US",Unknown,2015
C-130E SIM REFR(P/CP/FE)12SH,3,"Mcchord AFB, WA, US",131ST Squadron,2015
C-130E SIM REFR(P/CP/FE)12SH,3,"Mcchord AFB, WA, US",131ST Squadron,2015
C-130E SIM REFR(P/CP/FE)12SH,1,"Mcchord AFB, WA, US",103RD Squadron,2015
C-130E SIM REFR(P/CP/FE)12SH,2,"Mcchord AFB, WA, US",131ST Squadron,2015
C-130J SIM REF - LM AT Dyess,2,"Dyess AFB, TX, US",103RD Squadron,2015
C-130J SIM REF - LM AT Dyess,1,"Dyess AFB, TX, US",103RD Squadron,2015
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD Squadron,2015
C-130J SIM Refresher - Loadmaster,2,"Keesler AFB, MS, US",103RD Squadron,2015
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2015
C-130J SIM Refresher - Pilot,2,"Keesler AFB, MS, US",103RD Squadron,2015
Command And General Staff Officer'S Course,1,"Ft. Leavenworth, KS, US",YAHALOM,2015
Command And General Staff Officer'S Course PREP,1,"Ft. Leavenworth, KS, US",162ND Division,2015
Data Management STRAT And TECH: A MGR PERSPECT,1,"Ft. Mcnair, NDU, DC, US",C4I Directorate ATAK,2015
Defense TECH & SYS-MS,1,"Monterey, CA, US",Intelligence And Research,2015
Dyess C-130J SIM REF - Pilot,2,"Dyess AFB, TX, US",103RD Squadron,2015
Dyess C-130J SIM REF - Pilot,2,"Dyess AFB, TX, US",103RD Squadron,2015
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",162nd HaPlada (the Steel Division),2015
Eisenhower School,1,"Ft. Mcnair, NDU, DC, US",Special Operations Detachment For Aman,2015
Engineer Captains Career,1,"Ft. Leonard Wood, MO, US",601ST ASSAF Battalion,2015
Engineer CCC International STU PREP,1,"Ft. Leonard Wood, MO, US",601ST ASSAF Battalion,2015
Experimental Test Pilot Course,1,"Edwards AFB, CA, US",IAF Experimental Flight Center,2015
