Date,Content
11.04.2024,"Prime Minister Benjamin Netanyahu at the Tel Nof Air Base: We are also prepared for scenarios involving challenges in other sectors. We are prepared, defensively and offensively.""
Prime Minister Benjamin Netanyahu, today, visited the Tel Nof Air Base, where he met with the personnel of the 133rd Squadron, which operates F-15s.
The Prime Minister was briefed by the deputy base commander and the squadron commander on its activity during the war.
Prime Minister Netanyahu:
""We are in challenging times. We are in the midst of the war in Gaza, which is continuing at full force, even as we are continuing our relentless efforts to return our hostages. However, we are also prepared for scenarios involving challenges in other sectors. We have determined a simple rule: Whoever harms us, we will harm them. We are prepared to meet all of the security needs of the State of Israel, both defensively and offensively. 
The people of Israel and I rely on you; may we all have great success.""
"
09.04.2024,"At the start of his visit, the Prime Minister was briefed on enlistment data in the shadow of the war and was impressed by the recruits' great motivation to serve in the IDF in general, and in combat positions in particular. He then spoke with the new recruits and answered their questions.
Prime Minister Netanyahu joined the new recruits for lunch and heard from them about the induction process.
Prime Minister Netanyahu to the recruits [translated from Hebrew]:
""This is a very significant day in your lives and in the life of the state. The state exists thanks to our ability to defend ourselves. These attacks have not ceased since we established the state; this has been the fate of the Jewish people for hundreds and even thousands of years. What changed with the establishment of the state is our ability to repel these attacks, sometimes at a very heavy cost, but with a strength that the entire world understands, may not always like, but we know that without it we would not exist.
This is what you are doing here today, in the various units, brigades and corps. We are, in effect, defending the existence of our state, which is also the personal existence of each and every one of you, your families, your friends and also the coming generations. This is no exaggeration or lofty words. These are very precise words; this is what will determine if our state exists.
The most prominent thing that we have seen in the six months since the outbreak of the war is the immense increase in the motivation of the young people, the desire to enlist, defend and fight, both young men and young women. We have never seen such a thing. This attests to the power of the life in our people. I think that you deserve all praise as well as the understanding that you are – in effect – doing something of historic significance.""
Prime Minister Netanyahu added, about the fighting in the Gaza Strip [translated from Hebrew]:
""We will complete the elimination of Hamas's battalions, including in Rafah. No force in the world will stop us. There are many forces trying to do this but it will not help because this enemy, after what it has done, will not do this again. Neither will it exist. We are committed to doing this, and each one of you now, at this base, will contribute in one way or another to completing the goal. This must be. After doing such a thing to our country – it will not be done any more.
We have three objectives: One – to return our hostages, all of the field observers, and not just them, but everyone together. We will return them all. The second objective: Eliminating Hamas. The third objective: To ensure that Gaza will never again constitute a threat to Israel.
There is a fourth objective: Hamas is part of Iran's axis of evil, which aims to destroy us. And when we defeat Hamas, it is not only defeating Hamas – it is defeating the axis. Everyone in the Middle East and beyond is sitting in the stands and watching who will win on this field, Israel or Iran and its proxies. You already know who will win. Good luck!""
Also participating in the visit were the Prime Minister's Chief-of-Staff, the Prime Minister's Military Secretary, the Head of the IDF Personnel Branch, the commander of the Border Defense School and additional senior IDF officers."
01.04.2024,"Following are Prime Minister Benjamin Netanyahu's remarks at his press conference, this evening, at the Prime Minister's Office in Jerusalem ""Citizens of Israel, I would like to commend the action of the IDF and the ISA in Shifa. Last week, our forces operated there in exemplary fashion. Shifa has become a main terrorism command center for Hamas. The surprise action by our forces was precise and surgical. They eliminated over 100 terrorists, including senior commanders, and additional terrorists surrendered. No hospital anywhere in the world looks like this; this was a terrorist lair.
The important information that our forces obtained during the operation will assist them in locating our hostages and in preparing for the continuation of the fighting. Indeed, we are continuing operations in the Strip, in Lebanon and far afield as well.
At the same time, I have approved the IDF operational plan for Rafah. The IDF is prepared for the evacuation of the civilian population and for the provision of humanitarian assistance. This is the right thing both operationally and internationally. This will take time but it will be done. We will enter Rafah and we will eliminate the Hamas battalions there for one simple reason: There is no victory without entering Rafah and there is no victory without eliminating the Hamas battalions there. This is a fundamental part of the goals of the war, which also include returning all of our hostages.
I would like to tell you that the distress and the pain of the hostages' families rends my heart. I think that they rend all of our hearts. It is difficult to imagine the anguish of the families that are concerned about the fate of their loved ones, the tribulations of not knowing and of endless worrying. Their loved ones are our loved ones, the hostages.
Amit Soussana and additional female hostages have given chilling testimony of the harsh sexual abuse that was perpetrated on them. This testimony is infuriating as is the silence of global women's organizations, a silence that screams to high heaven.
Last Thursday and today, I met again with the families of the hostages, together with my wife Sara. My wife sent a letter to the mother of the Emir of Qatar, the Sheikha Moza. I still await her response.
We listened to the families and embraced them. I understand their distress and desire to do everything to return the hostages and I fully share this desire.
As Prime Minister of Israel, I am doing everything, and will do everything, to bring our loved ones back home. Our efforts to return the hostages are continuing all the time. Whenever precise intelligence information comes in and operational conditions allow it, I approve rescue operations, which entail risk to the lives of our heroic fighters, who join in the mission. To my joy, there have also been successes.
But most of our action is a combination of military pressure and determined negotiations, which has already led to the release by our forces and our efforts, of approximately half of the hostages. Together with the negotiating team and the Cabinet, I am working around the clock to free all of our hostages. I am doing so while balancing between the necessary pressure on Hamas and the flexibility that is possible in the negotiations.
Whoever says that I am not doing everything to return our hostages – is mistaken and is misleading others. Whoever knows the truth and still repeats this lie is causing unnecessary pain to the hostages' families.
The truth is that when Israel shows flexibility in the negotiations, Hamas hardens its positions. Hamas is demanding the cancellation of the corridor and the unsupervised return of Gazans – including Hamas terrorists – to the northern Strip. These demands by Hamas have security ramifications that I will not detail here. With all of the difficulty that this entails, the negotiations must be conducted with level-headedness and prudent determination. This is the only way to return our hostages – all of our hostages.
The claim that if we agree to more and more concessions every two days, that this will lead to a deal, is the opposite of the truth. Such an approach in the negotiations will not bring release closer but push it further away. The test of the results is not in our seeing that we are making efforts to reach a deal, but in achieving release, in the actual return of our hostages back home.
I would like to say something else. Calls for elections now during the war, a moment before victory, will paralyze Israel for at least six months; in my estimate, for eight months. They will paralyze the negotiations for the release of our hostages and in the end will lead to ending the war before achieving its goals and the first to commend this will be Hamas, and that says it all.
I reiterate: I am committed to returning all of our hostages, women and men, civilians and soldiers, the living and the victims. I will not leave even one behind.
With God's help, we will be successful. Together we will fight and together we will win."""
28.03.2024,"Prime Minister Benjamin Netanyahu, today, at the Prime Minister's Office in Jerusalem, met with a democratic US Congressional delegation, organized by AIPAC.
The Prime Minister welcomed the members of the delegation on their arrival and thanked them for the broad support for the State of the Israel among the American public. He also briefed them on the fighting in the Gaza Strip and answered their questions.
Prime Minister Netanyahu to the US Congressional delegation:
""I'm delighted to see all of you. You've been long-time friends of Israel. You're great supporters. It's very important for us to maintain bipartisan support at all times, but especially in these trying times. I want to use this opportunity of our conversation to try to straighten out and also dispel some of the things that are being said about our bipartisan alliance and the importance of maintaining it.
I don't know if you know this, but I think it was about a week ago or two weeks ago. Iran officially launched, along with Hezbollah, a campaign, which means Hamas, the Houthis and so on, but the formal policy is to shift from an ideological position of destroying Israel to a practical, long-term plan to bring about the destruction of the state.
We have to win. There is no substitute for victory.
How do we achieve this victory? It doesn't nullify the other needs: How to take care of Hezbollah, how to take care of Iran, how to prevent Iran from acquiring nuclear weapons, which would make this threat a hundred times bigger, how to prevent these militias from firing into Israel rockets from Yemen or from Baghdad, precise rockets that could reach this room right now. How do we deal with that? These are big questions, but it starts with a necessary condition—and that condition is that those who launched this genocidal attack must be defeated.
How do you do that? What we've set out at the outset, with the support of President Biden and the administration – important support, which we appreciate deeply – was to say, the first thing: Our goal is to destroy the military and governing capabilities of Hamas in Gaza. Hamas has to be eliminated. Not as in idea. Nazism wasn't destroyed as an idea in World War Two, but Nazis do not govern Germany. There are still Neo-Nazis around, but you destroyed that organization.
The second thing was to get our hostages out. They are simultaneous goals, because the military action is what produces the pressure to release the hostages. We've released half. We intend to release all of them.
The third thing is to ensure that, indeed that Gaza doesn't pose a threat to Israel again."""
27.03.2024,"I thought the US decision in the Security Council was a very, very bad move. The worst part about it was that it encouraged Hamas to take a hard line and to believe that international pressure will prevent Israel from freeing the hostages and destroying Hamas. 
My decision not to send the delegation to Washington in the wake of that resolution was a message to Hamas: Don't bet on this pressure, it's not going to work.
I hope they got the message."
25.03.2024,"Head of IDF Manpower Maj.-Gen. Asor, Commander of the Military Police, commanders and soldiers, I am very impressed by your work at all times but especially now, when the challenges facing you have grown significantly, to put it mildly. The missions have become greater as have your efforts.
You defend the State of Israel and the citizens of Israel around the clock, in various missions, while assuming risks and sometimes with sacrifice. I want to commend you and tell you – well done. Thank you very much.
I want to thank the rabbi not only for the flawless reading but also for your important remarks regarding the reading, which were not extraneous but go to the heart of the matter.
Today we mark the holiday of Purim (https://www.jewishvirtuallibrary.org/purim). More than 2,000 years ago in ancient Persia, an antisemitic enemy arose, the wicked Haman, who sought to wipe the Jewish people off the face of the Earth. The Jews stood up, united together, fought and won a total victory.
Today in modern Persia, there is a new enemy – the Iranian regime, which seeks to destroy the state of the Jews. We have already seen what Hamas, one of this enemy's proxies, did on October 7, which President Biden also called sheer evil.
It is impossible to defeat the sheer evil by leaving it intact in Rafah. As in ancient times, like our brothers, we are also united. We are fighting and will be victorious. We will enter Rafah and achieve total victory. We eliminated Haman and we will also eliminate Sinwar.
Happy holiday to you!"
20.03.2024,"Prime Minister Benjamin Netanyahu, this evening, attended a meeting of the Israel Land Authority Council, chaired by Construction and Housing Minister Yitzhak Goldknopf. It was decided to expand the definition of reserve soldiers eligible for benefits so that reserve soldiers who served over 45 days during the war will also be eligible for the benefits of reserve soldiers – out of high esteem and deep appreciation for IDF reserve soldiers.
It was also decided to increase the benefits given to all reserve soldiers and determine that they will also be eligible for an additional 10% discount from the payment rates that have been determined in national preference areas. The increased regional discount will be in addition to the present discount of up to NIS 100,000 depending on the location of the land and its value. According to the decision, the discount that will be provided to reserve soldiers without housing in most communities in 'A' national preference areas will be up to 90% of the value of the land.
Prime Minister Netanyahu:
""Today is a day of good news because we have promised for some time to bring free, or almost free, land to those serving in the army, our reservists, with emphasis – of course – on combat service. There really is major good news here of 90%, and in some places even 95%. The land itself is almost free. We are aware that there are also development costs. We will now discuss how to also provide the assistance, the subsidy, in the Finance Ministry for the development costs. Of course, this is a major revolution that also makes justice.
 Our soldiers are fighting for our land and deserve part of our land. This change is welcome – it is vital for the north and the south, and for other parts of the country. How much more so because we are in the midst of a war and this war is a war for the country, and also a great effort for which we want to provide proper compensation to those who are putting themselves in danger for the existence of us all. 
Then I commend you for the decision that you are about to make. We will resolve the remaining problem. We are underway, on a new path. This is good news for those who serve. Thank you very much
"
19.03.2024,"Prime Minister Benjamin Netanyahu, today, at the start of a meeting of the subcommittee on advancing the fight against crime in the Arab sector in Israel:  ""We all welcome the fact that the Arab sector in Israel is showing solidarity with our fight against Hamas. However, it must be said that the criminal organizations are continuing to strengthen, and are now using weapons that are more lethal than in the past such as claymores and LAW rockets. Therefore, the fight against the criminal organizations must be stepped up.
 To this end, today we will submit three steps: The first step is legislation against lethal war materiel. A second step is convening the 'elite team' on a weekly basis for a continuous fight against terrorism, even during the war. A third step, which will be coordinated by Roi Kahlon, is establishing an additional working team for a focused war on crime. These are the three steps.  
We will certainly discuss other items as well but we cannot neglect the war on the criminal organizations, even during the major war effort that we are making on all fronts."
19.03.2024,"Prime Minister Benjamin Netanyahu, today, made the following remarks at the start of his meeting with the Knesset Foreign Affairs and Defense Committee:
""We are in a dual campaign – a military campaign and a diplomatic campaign. Of course, they are inter-connected, the diplomatic fight gives us the time and the resources to reach the full results of the war.
We have been fighting for over five months, this is a record in the history of Israel's wars, except for the War of Independence. We are – of course – under growing international pressure, which we are rejecting in order to achieve the goals of the war. The goals of the war are, to be succinct: The destruction or elimination of Hamas's military and governing capabilities, the release of all of our hostages and ensuring that Gaza never again constitutes a threat to Israel.
In order to do this, we need to complete the military elimination of Hamas. There is no alternative to this. We cannot go around it; neither can we say 'We will destroy 80% of Hamas and leave 20%', because from that 20%, they will reorganize and take over the Strip again and – of course – constitute a new threat to Israel. And of course, this will be a victory for the greater axis that threatens us – the Iranian axis.
Therefore, we are determined to complete the elimination of Hamas. This requires the elimination of the remaining battalions in Rafah and – of course – the 1.5 battalions in the camps in the center. We are determined to do this. We have a debate that I will put on the table, and we all know it. US National Security Adviser Jake Sullivan also said this yesterday. We have a debate with the Americans over the need to enter Rafah, not over the need to eliminate Hamas, but the need to enter Rafah. We see no way to eliminate Hamas militarily without destroying these remaining battalions. We are determined to do this.
Out of respect for the President, we agreed on a way in which they can present us with their ideas, especially on the humanitarian side; of course, we fully share this desire to facilitate an orderly exit of the population and the providing of humanitarian aid to the civilian population. We have been doing this since the beginning of the war.
However, I made it as clear as possible to the President that we are determined to complete the elimination of these battalions in Rafah, and there is no way to do this without a ground incursion."
18.03.2024,"Prime Minister Benjamin Netanyahu, today, at the Prime Minister's Office in Jerusalem, met with an AIPAC leadership delegation led by AIPAC President Michael Tuchin. The Prime Minister spoke with the delegation, briefed them on the fighting in Gaza, and answered their questions.
Following are excerpts from the Prime Minister's remarks:
""How do we define victory? We define it as the destruction of Hamas's military and governing capabilities, as the return of the hostages, which we're working right now, and also as preventing the return, Gaza from becoming a threat to Israel at any time in the future.
There is also the northern front, where we want to return our people to a condition of security. That requires that Hezbollah move back. That is also part of our goals, which we will not give up on. Very important. 
If we achieve these goals, then we will also deliver a stinging blow to the Iran terror axis, which is behind everything that we're seeing here today.
That is something that we all have to understand, that this is not just Israel's battle. It is a battle for our future, but it's also the battle for the victory of the Israel-America-moderate Arab axis against the Iran axis. 
Unless we have that victory that I talked about, then we have a defeat. A defeat spells terrible things for our future and for the future of the Middle East and beyond the Middle East. Because this is a war of civilization against barbarism, those who want to bring back the Middle East to the Middle Ages, early Middle Ages, and those who want to see it going to the century of progress and advance in the 21st century. That's really the battle. It's a very, very big battle.""
Prime Minister Netanyahu added:
""The picture that is presented in the last few days and weeks in the United States is completely different from what I described. It's not the unity of the people. You can go into any cab, go into a mall, walk down the street and talk to people. The great majority will tell you that they support what I just said, the goals that the government has set.
That's not the description you have an outlier prime minister who put some extreme fringe groups, and that's what's driving the policy. False. I would say deliberately false. They know it's false. But that falsehood is perpetrated and it's wrong.
There is unity among the people to achieve victory along the lines that I described. It is within reach and we're going to do it. I've said this to the president. I've said it to the people that I've talked to. They keep saying that local politics is interfering with this. They may be right. On which side of the pond?
We have to win this war. We have to stand together and win this war. We have to stand together here, and we have to stand together there. Because it's the right thing to do. Because it's the necessary thing to do. Because it's the one thing that will assure the viability, future and security of the State of Israel"
